No.,テンプレートID,活動カテゴリ（DiaryActionCategory）,パーソナルデイ,現在の文言,変数,表示位置,備考
1,anxious_1_a,anxious,1,前へ進もうとする時ほど、見えない部分が気になりやすくなります。その感覚は、新しい流れに入ろうとしているサインかもしれません。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
2,anxious_2_a,anxious,2,周りの空気や人の言葉を受け取りすぎて、心が落ち着きにくかったかもしれません。少し距離を取ることで、自分の感覚が戻ってきます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
3,anxious_3_a,anxious,3,不安を無理に明るく変えようとしなくて大丈夫です。そのままの気持ちにも、ちゃんと意味があります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
4,anxious_4_a,anxious,4,気になることや心配な部分が、具体的に見えてきたかもしれません。それは、少し整えたい場所に気づき始めたということかもしれません。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
5,anxious_5_a,anxious,5,動きがあるほど、先が見えない感覚も出やすくなります。まずは自分のペースを、静かに取り戻していきましょう。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
6,anxious_6_a,anxious,6,人や責任に関わることで、気持ちが重くなった可能性があります。自分を守る選択も、やさしさのひとつです。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
7,anxious_7_a,anxious,7,理由がはっきりしなくても、気持ちが落ち着かないことがあります。その感覚は、内側を見つめるきっかけになるかもしれません。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
8,anxious_8_a,anxious,8,気持ちが大きく動いた分、負担も感じやすかったかもしれません。少し力を抜くことで、バランスが戻ってきます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
9,anxious_9_a,anxious,9,強く感じた気持ちも、少しずつ外へ流れていきます。今は、少しずつ整理している途中なのかもしれません。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
10,did_not_go_well_1_a,did_not_go_well（down）,1,始まりの時ほど、試行錯誤はつきものです。今日の一歩は、無駄ではありません。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
11,did_not_go_well_2_a,did_not_go_well（down）,2,うまくいかなかったことが、心に残りやすかったかもしれません。少し時間を置くと、やさしく整ってきます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
12,did_not_go_well_3_a,did_not_go_well（down）,3,落ち込んだ気持ちも、無理に変えなくて大丈夫です。そのままの感覚も、大切な一部です。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
13,did_not_go_well_4_a,did_not_go_well（down）,4,うまくいかなかったことで、整えるべき場所が見えてきたかもしれません。それは前進の一部です。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
14,did_not_go_well_5_a,did_not_go_well（down）,5,思うようにいかなかったのは、流れの途中だった可能性があります。まだ変わっていく余地があります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
15,did_not_go_well_6_a,did_not_go_well（down）,6,うまくいかなかったことに、気持ちが重くなったかもしれません。自分を責めすぎず、そのやさしさを自分にも少し向けられるとよさそうです。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
16,did_not_go_well_7_a,did_not_go_well（down）,7,落ち込んだ出来事の中にも、気づきがあったかもしれません。その理解は、これからの自分を少し助けてくれるかもしれません。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
17,did_not_go_well_8_a,did_not_go_well（down）,8,うまくいかなかったことが、はっきりと感じられたかもしれません。その経験は、やがて力に変わっていきます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
18,did_not_go_well_9_a,did_not_go_well（down）,9,落ち込んだ気持ちも、終わりと整理の一部かもしれません。少しずつ次へ進む準備が、整っています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
19,family_friends_1_a,family_friends,1,何気ない会話や、一緒に過ごしたひとときが、これからの関係の小さな始まりになることがあります。心が動いた瞬間を、大切に残しておきましょう。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
20,family_friends_2_a,family_friends,2,誰かと過ごす中で、相手の気持ちを受け取ったり、自分の心に気づいたりしたかもしれません。寄り添う時間の中にも、静かな意味があります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
21,family_friends_3_a,family_friends,3,一緒に過ごす時間の中で、自然と明るい空気が生まれやすい一日でした。小さな笑い声も、今日の大切な記録になります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
22,family_friends_4_a,family_friends,4,家族や友人との時間の中に、安心できる場所や守りたいものが見えたかもしれません。何気ない日常ほど、長く自分を支えてくれます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
23,family_friends_5_a,family_friends,5,いつもと違う会話や、思いがけない流れがあったかもしれません。人と過ごすことで、新しい景色が少しずつ開いていくことがあります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
24,family_friends_6_a,family_friends,6,誰かを思いやったり、思いやられたりする中で、心がやわらかくなる瞬間があったのではないでしょうか。あたたかい記憶は、静かに長く残ります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
25,family_friends_7_a,family_friends,7,たくさん話さなくても、同じ空間にいるだけで伝わるものがあったかもしれません。静かなつながりも、ちゃんと心に届いています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
26,family_friends_8_a,family_friends,8,一緒に過ごした時間が、信頼や現実的な支えとして感じられたかもしれません。大切なつながりは、日々の中でゆっくりと形になっていきます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
27,family_friends_9_a,family_friends,9,誰かと過ごした時間の中で、改めて大切にしたい気持ちが見えたかもしれません。今日の記憶は、心の中でやさしく整理されていきます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
28,favorite_fun_1_a,favorite_fun（enjoyed）,1,小さく始めた楽しみでも、これからの自分を明るくする入口になるかもしれません。その気持ちは、大切に育てていいものです。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
